,demand_electricity_kw,demand_heat_kw,solar_availability,electricity_price,grid_availability,grid_emission_factor,outdoor_temperature,feed_in_tariff,gas_price,hp_air_cop,hp_geo_cop,hp_air_max
2020-02-29 11:00:00,265.3701121299873,1040.219297733598,0.25639212956756247,0.11475,0.99,0.499752363,3.3,0.06,0.06774987554137533,2.773158833063209,3.11098,0.9670285666673386
2020-02-29 12:00:00,236.3743461316664,970.4522557452178,0.406474020957194,0.11475,0.99,0.49194672,3.9,0.06,0.06695069671021388,2.800391162029459,3.11098,0.9784351544091452
2020-02-29 13:00:00,198.0034235812159,914.2673883397192,0.25026988987121906,0.11475,0.99,0.491851656,3.7,0.06,0.06721708965393436,2.791254486133767,3.11098,0.9746056641077122
2020-02-29 14:00:00,178.6537212564869,877.1300643587523,0.31627225674776827,0.11475,0.99,0.496656744,3.7,0.06,0.06721708965393436,2.791254486133767,3.11098,0.9746056641077122
2020-02-29 15:00:00,199.4767831841984,851.2882240575366,0.3302425098008751,0.135,0.99,0.510128263,3.3,0.06,0.06774987554137533,2.773158833063209,3.11098,0.9670285666673386
2020-02-29 16:00:00,197.5665263818169,833.996774970553,0.11784487931577929,0.135,0.99,0.525321875,2.5,0.06,0.0688154473162573,2.0532468,3.11098,0.6742159084866536
2020-02-29 17:00:00,175.1645154346963,852.2809606354463,0.03186836773460232,0.20249999999999999,0.99,0.538620492,2.0,0.06,0.06899999999999999,2.036951190476191,3.11098,0.6677999115346217
2020-02-29 18:00:00,174.6075587673052,899.7763438059345,0.00025850627984097513,0.20249999999999999,0.99,0.550212916,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-02-29 19:00:00,183.771328070377,917.3997492537463,0.0,0.20249999999999999,0.99,0.559102705,1.5,0.06,0.06899999999999999,2.020912204724409,3.11098,0.6614949700215028
2020-02-29 20:00:00,153.7461973986281,902.4009541844405,0.0,0.20249999999999999,0.99,0.560893395,1.6,0.06,0.06899999999999999,2.024099763406941,3.11098,0.6627472083740211
2020-02-29 21:00:00,130.3151982556518,920.4903331975697,0.0,0.135,0.99,0.557819664,1.9,0.06,0.06899999999999999,2.033723058637083,3.11098,0.6665301289011283
2020-02-29 22:00:00,117.0057847064419,966.3732809025977,0.0,0.135,0.99,0.557622076,1.7,0.06,0.06899999999999999,2.027297393364929,3.11098,0.6640037995848247
2020-02-29 23:00:00,99.89560482538005,1022.240888010238,0.0,0.08775000000000001,0.99,0.555389554,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-03-01 00:00:00,79.94622275547088,1059.623279474578,0.0,0.08775000000000001,0.99,0.552217207,1.7,0.06,0.06899999999999999,2.027297393364929,3.11098,0.6640037995848247
2020-03-01 01:00:00,62.42960332432755,1078.120225893789,0.0,0.08775000000000001,0.99,0.54375873,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-03-01 02:00:00,58.1187825448122,1086.537847633285,0.0,0.08775000000000001,0.99,0.540735792,2.0,0.06,0.06899999999999999,2.036951190476191,3.11098,0.6677999115346217
2020-03-01 03:00:00,56.2891345430655,1088.28511620633,0.0,0.08775000000000001,0.99,0.537380095,1.8,0.06,0.06899999999999999,2.030505142405064,3.11098,0.6652647656971882
2020-03-01 04:00:00,57.04928556620057,1081.816683463861,0.0,0.08775000000000001,0.99,0.532267241,1.7,0.06,0.06899999999999999,2.027297393364929,3.11098,0.6640037995848247
2020-03-01 05:00:00,62.18248474589765,1088.62166100235,0.0,0.08775000000000001,0.99,0.533927169,1.5,0.06,0.06899999999999999,2.020912204724409,3.11098,0.6614949700215028
2020-03-01 06:00:00,80.32480408610574,1100.705974055352,0.0,0.08775000000000001,0.99,0.53507154,1.7,0.06,0.06899999999999999,2.027297393364929,3.11098,0.6640037995848247
